Product,Type,Release Date,Process Size,TDP,Die Size,Transistors,Freq,Vendor
AMD Athlon 64 3500+,CPU,2/20/07,65,45,77,122,2200,AMD
AMD Athlon 200GE,CPU,9/6/18,14,35,192,4800,3200,AMD
Intel Xeon E5-2603 v2,CPU,9/1/13,22,80,160,1400,1800,Intel
AMD Phenom II X4 980 BE,CPU,5/3/11,45,125,258,758,3700,AMD
Intel Xeon E5-2470 v2,CPU,9/1/13,22,95,160,1400,2400,Intel
AMD Phenom X4 9750 (125W),CPU,3/27/08,65,125,285,450,2400,AMD
Intel Pentium D 930,CPU,1/16/06,65,130,140,376,3000,Intel
AMD Athlon 64 X2 4200+,CPU,5/23/06,90,89,156,154,2200,AMD
AMD Sempron 2800+,CPU,8/1/04,130,62,80,37,1992,AMD
Intel Core i7-3632QM,CPU,10/19/12,22,35,160,1480,2200,Intel
AMD Phenom X4 9600 BE,CPU,12/19/07,65,95,285,450,2300,AMD
Intel Pentium 3560Y,CPU,9/1/13,22,12,118,1400,1200,Intel
Intel Pentium 4 506,CPU,6/1/05,90,84,109,125,2660,Intel
Intel Xeon E5-2430 v2,CPU,9/1/13,22,80,160,1400,2500,Intel
AMD Athlon 64 X2 4800+,CPU,5/23/06,90,110,199,233,2400,AMD
AMD Opteron 148 HE,CPU,12/1/04,90,55,,106,2200,AMD
AMD Athlon 1100,CPU,8/14/00,180,60,120,37,1100,AMD
Intel Core i7-975,CPU,6/2/09,45,130,263,731,3333,Intel
AMD Athlon 64 3500+,CPU,1/1/01,90,67,115,105,2200,AMD
Intel Pentium 4 HT 672,CPU,11/14/05,90,84,109,169,3800,Intel
Intel Pentium D 830,CPU,5/26/05,90,130,206,169,3000,Intel
AMD EPYC 7371,CPU,11/16/18,14,170,213,4800,3100,AMD
Intel Pentium 4 HT 550,CPU,6/21/04,90,115,109,125,3400,Intel
Intel Pentium III 1266S,CPU,7/1/01,130,30,80,44,1266,Intel
AMD Sempron 140,CPU,7/22/09,45,45,117,234,2700,AMD
AMD EPYC 7501,CPU,6/29/17,14,170,213,4800,2000,AMD
Intel Atom E680,CPU,9/14/10,45,4,26,47,1600,Intel
Intel Xeon E5-2690 v2,CPU,9/1/13,22,130,160,1400,3000,Intel
Intel Xeon Phi 7120A,CPU,4/6/14,22,300,350,5000,1238,Intel
AMD Phenom X4 9600,CPU,11/19/07,65,95,285,450,2300,AMD
Intel Core i3-2330M,CPU,6/1/11,32,35,149,624,2200,Intel
AMD Opteron X2 180,CPU,9/26/05,90,110,,233,2400,AMD
AMD E2-3200,CPU,9/7/11,32,65,228,1178,2400,AMD
AMD Turion 64 MT-34,CPU,3/10/05,90,25,125,114,1800,AMD
Intel Pentium III  866,CPU,6/1/01,180,38,80,44,866,Intel
Intel Core 2 Quad Q9550S,CPU,1/27/09,45,65,107,820,2833,Intel
Intel Core i7-4500U,CPU,6/4/13,22,15,118,1300,1800,Intel
AMD Opteron X2 185,CPU,3/6/06,90,110,,233,2600,AMD
AMD Ryzen 5 1400,CPU,4/11/17,14,65,192,4800,3200,AMD
AMD A4-3300M,CPU,6/14/11,32,35,228,1178,1900,AMD
Intel Xeon 3.20,CPU,10/6/03,130,97,237,286,3200,Intel
AMD Opteron 848,CPU,12/1/04,90,85,,106,2200,AMD
Intel Core 2 Extreme QX6700,CPU,11/1/06,65,130,143,582,2666,Intel
AMD A6-3600,CPU,6/30/11,32,65,228,1178,2100,AMD
Intel Xeon Phi 7120X,CPU,6/17/13,22,300,350,5000,1238,Intel
Intel Pentium 2129Y,CPU,9/1/12,22,10,118,1400,1100,Intel
AMD Athlon 64 X2 5600+,CPU,12/12/06,90,89,220,227,2800,AMD
AMD Athlon II X4 640,CPU,5/11/10,45,95,169,300,3000,AMD
Intel Atom Z515,CPU,4/8/09,45,1,26,47,1200,Intel
AMD EPYC 7302,CPU,8/7/19,7,155,74,3800,3000,AMD
AMD Ryzen 9 5900HX,CPU,1/12/21,7,45,156,9800,3300,AMD
AMD EPYC 7502,CPU,8/7/19,7,180,74,3800,2500,AMD
AMD Athlon 64 4000+,CPU,2/20/07,90,62,230,227,2600,AMD
Intel Pentium III 1400S,CPU,1/8/02,130,32,80,44,1400,Intel
AMD Mobile Athlon 64 3400+,CPU,8/1/05,130,82,193,106,2200,AMD
Intel Xeon E5-2620 v2,CPU,9/1/13,22,80,160,1400,2100,Intel
Intel Xeon Platinum 8260,CPU,12/11/18,14,165,,8000,2400,Intel
AMD Athlon 64 3500+,CPU,5/31/05,90,67,156,154,2200,AMD
Intel Atom N2600,CPU,12/1/11,32,4,66,176,1600,Intel
AMD Ryzen Threadripper PRO 3955WX,CPU,7/14/20,7,280,74,3800,3900,AMD
Intel Celeron 2980U,CPU,9/1/13,22,15,118,1400,1600,Intel
AMD Athlon 64 X2 4000+,CPU,5/23/06,90,89,220,154,2000,AMD
Intel Xeon E5-2630L v2,CPU,9/1/13,22,60,160,1400,2400,Intel
AMD Ryzen 7 3750H,CPU,1/6/19,12,35,210,4940,2300,AMD
Intel A110,CPU,6/1/07,90,3,66,176,800,Intel
AMD Ryzen 5 5500U,CPU,1/12/21,7,25,156,9800,2100,AMD
Intel Core Solo T1350,CPU,1/5/06,65,27,90,151,1866,Intel
AMD A4-5300B,CPU,10/2/12,32,65,246,1178,3400,AMD
Intel Core Duo T2600,CPU,1/5/06,65,31,90,151,2166,Intel
Intel Pentium G4500,CPU,9/1/15,14,51,150,1400,3500,Intel
AMD A8-5600K,CPU,10/2/12,32,100,246,1178,3600,AMD
AMD Athlon XP 2600+,CPU,10/1/02,130,68,80,37,2133,AMD
AMD Athlon 64 3000+,CPU,12/15/03,130,89,193,69,2000,AMD
Intel Pentium D 945,CPU,7/23/06,65,95,140,376,3400,Intel
Intel Celeron B800,CPU,6/19/11,32,35,131,504,1500,Intel
Intel Atom E665C,CPU,11/22/10,45,4,26,47,1300,Intel
AMD E1-2150,CPU,2/1/14,32,9,246,1178,1050,AMD
